student_id,gre,toefl,cgpa,admit_chance
1391,314,102,8.24,0.64
1392,318,106,8.65,0.71
1393,326,112,9.12,0.84
1394,317,104,8.76,0.77
1395,329,111,9.23,0.89
1396,324,110,9.04,0.82
1397,325,107,9.11,0.84
1398,330,116,9.45,0.91
1399,312,103,8.78,0.67
1400,333,117,9.66,0.95
1401,304,100,8.22,0.63
1402,315,105,8.34,0.66
1403,324,109,8.94,0.78
1404,330,116,9.23,0.91
1405,311,101,7.64,0.62
1406,302,99,7.45,0.52
1407,322,103,8.02,0.61
1408,298,100,7.95,0.58
1409,297,101,7.67,0.57
1410,300,98,8.02,0.61
1411,301,96,7.56,0.54
1412,313,94,8.13,0.56
1413,314,102,7.88,0.59
1414,317,101,7.94,0.49
1415,321,110,8.35,0.72
1416,327,106,8.75,0.76
1417,315,104,8.1,0.65
1418,316,103,7.68,0.52
1419,309,111,8.03,0.6
1420,308,102,7.98,0.58
1421,299,100,7.42,0.42
1422,321,112,8.95,0.77
1423,322,112,9.02,0.73
1424,334,119,9.54,0.94
1425,325,114,9.46,0.91
1426,323,111,9.86,0.92
1427,312,106,8.57,0.71
1428,310,101,8.65,0.71
1429,316,103,8.74,0.69
1430,340,115,9.06,0.95
1431,311,104,8.13,0.74
1432,320,112,8.78,0.73
1433,324,112,9.22,0.86
1434,316,111,8.54,0.71
1435,306,103,8.21,0.64
1436,309,105,7.68,0.55
1437,310,110,7.23,0.58
1438,317,106,7.65,0.61
1439,318,110,8.54,0.67
1440,312,105,8.46,0.66
1441,305,104,7.79,0.53
1442,332,112,8.66,0.79
1443,331,116,9.44,0.92
1444,321,114,9.16,0.87
1445,324,113,9.25,0.92
1446,328,116,9.08,0.91
1447,327,118,9.67,0.93
1448,320,108,8.97,0.84
1449,312,109,9.02,0.8
1450,315,101,9.13,0.79
1451,320,112,8.86,0.82
1452,324,113,9.25,0.89
1453,328,116,9.6,0.93
1454,319,103,8.76,0.73
1455,310,105,8.01,0.71
1456,305,102,7.64,0.59
1457,299,100,7.88,0.51
1458,295,99,7.57,0.37
1459,312,100,8.53,0.69
1460,329,113,9.36,0.89
1461,319,105,8.66,0.77
1462,301,102,8.13,0.68
1463,307,105,7.94,0.62
1464,304,107,7.86,0.57
1465,298,97,7.21,0.45
1466,305,96,8.26,0.54
1467,314,99,8.73,0.71
1468,318,101,8.78,0.78
1469,323,110,8.88,0.81
1470,326,114,9.16,0.86
1471,320,110,9.27,0.87
1472,311,103,8.09,0.64
1473,327,116,9.48,0.9
1474,316,102,8.15,0.67
1475,308,105,7.95,0.67
1476,300,101,7.88,0.59
1477,304,104,8.12,0.62
1478,309,105,8.18,0.65
1479,318,103,8.49,0.71
1480,325,110,8.96,0.79
1481,321,102,9.01,0.8
1482,323,107,8.48,0.78
1483,328,113,8.77,0.83
1484,304,103,7.92,0.71
1485,317,106,7.89,0.73
1486,311,101,8.34,0.7
1487,319,102,8.37,0.68
1488,327,115,9.14,0.79
1489,322,112,8.62,0.76
1490,302,110,8.5,0.65
1491,307,105,8.12,0.67
1492,297,99,7.81,0.54
1493,298,101,7.69,0.53
1494,300,95,8.22,0.62
1495,301,99,8.45,0.68
1496,332,108,9.02,0.87
1497,337,117,9.87,0.96
1498,330,120,9.56,0.93
1499,312,103,8.43,0.73
1500,327,113,9.04,0.84
